구분명,행사명,행사내용,장소명,담당부서명,행사시작일자,행사종료일자,데이터기준일자
행사,3대가 함께하는 가화만사성 개최,홍보동영상 시청,교육문화센터 우석홀,가족행복과,2019-06-29,2019-06-29,2022-11-28
축제,문화가 있는 날 - 공연산책 뮤직 나들이,민요공연,오감공예체험장 전정,문화예술과,2019-06-29,2019-06-29,2022-11-28
축제,문화가 있는 날 - 공연산책 뮤직 나들이,시민을 위한 대중가요공연,오감공예체험장 전정,문화예술과,2019-06-29,2019-06-29,2022-11-28
축제,문화가 있는 날 - 공연산책 뮤직 나들이,무용공연,오감공예체험장 전정,문화예술과,2019-06-29,2019-06-29,2022-11-28
행사,민선7기 제10대 시장 취임 1주년 지역경제 활성화 현장 방문,근로자 격려 및 기술연구소 견학,㈜화신(언하공장),기업유치과,2019-07-01,2019-07-01,2022-11-28
기타,대학생 공공기관 직무체험 사업 실시,대학생들의 공공기관 직무체험 기회 제공,문화재연구원,일자리노사과 ,2019-07-01,2019-08-29,2022-11-28
기타,대학생 공공기관 직무체험 사업 실시,대학생들의 공공기관 직무체험 기회 제공,임베디드기술연구원,일자리노사과 ,2019-07-01,2019-08-29,2022-11-28
기타,대학생 공공기관 직무체험 사업 실시,대학생들의 공공기관 직무체험 기회 제공,하이브리브부품연구원,일자리노사과 ,2019-07-01,2019-08-29,2022-11-28
행사,영천별빛한우 발대식,영천별빛한우 설명회,영천축협 TMF 공장 회의실(2층),축산과,2019-07-02,2019-07-02,2022-11-28
행사,영천별빛한우 발대식,현판식,영천축협 TMF 공장 회의실(2층),축산과,2019-07-02,2019-07-02,2022-11-28
행사,영천별빛한우 발대식,기념식,영천축협 TMF 공장 회의실(2층),축산과,2019-07-02,2019-07-02,2022-11-28
행사,전통시장 투어,농촌체험 프로그램,은해사,관광진흥과,2019-07-02,2019-07-02,2022-11-28
행사,전통시장 투어,영천공설시장 및 관광지 투어,은해사,관광진흥과,2019-07-02,2019-07-02,2022-11-28
행사,전통시장 투어,농촌체험 프로그램,영천공설시장,관광진흥과,2019-07-02,2019-07-02,2022-11-28
