이름,주소,위도,경도,읍면동,테마
고3 청소년 꿈 토크 콘서트,시민회관 스타홀,,,,행사/축제
(사)영천아리랑연구보존회 노인복지센터 공연,예쁜재가노인복지센터,,,,행사/축제
중소기업융합영천교류회 회장 이. 취임식 및 송년의밤,스타컨벤션웨딩 2층 스타홀,,,,행사/축제
영천 전통시장 시티투어,영천공설시장 및 주요 관광지,,,,행사/축제
최무선과학관 12월 과학체험 프로그램 과학아!놀자! 운영,최무선과학관 창의과학체험실,,,,행사/축제
악극 공연,시민회관 스타홀,,,,행사/축제
제18회 경상북도 교육감기 초등학교 수영대회 개최,영천실내수영장,,,,행사/축제
CJ헬로비전 방송모금 캠페인,시민회관 전정,,,,행사/축제
2019년 장애인일자리사업,장애인복지담당,,,,행사/축제
2018 전국 영어한마당축제,영천시 교육문화센터,,,,행사/축제
아름어린이집 어린이 재롱발표,청소년극장,,,,행사/축제
영천경마공원』설계 반영 아이디어 공모 기간 연장 안내,경마공원추진담당,,,,행사/축제
2018년 장애인종합복지관 자원봉사자후원자감사의 날 행사,장애인종합복지관 3층 강당,,,,행사/축제
2018년 장애인종합복지관 자원봉사자후원자감사의 날 행사,장애인종합복지관 4층 강당,,,,행사/축제
인재양성원생 선발 접수,인재양성담당,,,,행사/축제
시민강연-병와 이형상의 삶과 작품,임고서원충효문화수련원(포은연수관),,,,행사/축제
임고서원 충효문화수련원경북선비아카데미 과정 수료식,포은연수관 대강당,,,,행사/축제
명사초청특강 및 문화가족 한마당,시민회관,,,,행사/축제
불우이웃과 함께하는 자선콘서트,교육문화센터 우석홀,,,,행사/축제
동서청춘대학 한마음 발표회,영천시 교육문회회관 우석홀,,,,행사/축제
크리스마스 콘서트(도서관),도서관 지산홀,,,,행사/축제
다문화가족 희망이들과 함께하는 크리스마스 행사,영천별빛영화관,,,,행사/축제
남북이 함께 열어가는 통일한마당,스타컨벤션 3층,,,,행사/축제
남북이 함께 열어가는 통일한마당,스타컨벤션 4층,,,,행사/축제
남북이 함께 열어가는 통일한마당,스타컨벤션 5층,,,,행사/축제
제로페이 서포터즈 찾아가는교육,영천공설시장 청년회사무실(2층),,,,행사/축제
