,ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
21626,KCLANPO23N000021627,장소,관광지,18307151,보현산별빛테마마을야영장,,,60506,야영장,4723034029107030000,경상북도,영천시,화북면,정각리,703,4723034029,4723034000,,,,128.9963575,36.14094706,마마346948,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
22647,KCLANPO23N000022648,장소,관광지,18522913,글램코티지,,,60520,캠핑장,4723037033105740000,경상북도,영천시,임고면,매호리,574,4723037033,4723037000,472303018008.0,포은로,175-32,128.9630688,35.99417468,마마318784,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
22663,KCLANPO23N000022664,장소,관광지,18578905,금박산관광농원,,,60520,캠핑장,4723040032109720000,경상북도,영천시,대창면,대창리,972,4723040032,4723040000,472303018029.0,금박로,1004,128.8903222,35.87439504,마마255650,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
22991,KCLANPO23N000022992,장소,관광지,18871092,늘푸른체험학교캠핑장,,,60520,캠핑장,4723040027107620000,경상북도,영천시,대창면,신광리,762,4723040027,4723040000,472304730462.0,영지길,100,128.9198442,35.85825231,마마282633,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
23044,KCLANPO23N000023045,장소,관광지,18873937,영천구룡산오토캠핑장앤펜션,,,60520,캠핑장,4723039021102970003,경상북도,영천시,북안면,상리,297-3,4723039021,4723039000,472304730309.0,상리중앙길,50-21,128.9894514,35.8531976,마마344628,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
23244,KCLANPO23N000023245,장소,관광지,19002325,영천시오감공예체험장,,,60520,캠핑장,4723036028105370000,경상북도,영천시,자양면,성곡리,537,4723036028,4723036000,472303018008.0,포은로,1625-11,129.0182379,36.08076846,마마367881,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
23513,KCLANPO23N000023514,장소,관광지,19469725,영천슈퍼베리팜,,,60516,관광농원/허브마을,4723011400200530001,경상북도,영천시,범어동,,산53-1,4723011400,4723055500,,,,128.9757241,35.95158436,마마330737,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
24395,KCLANPO23N000024396,장소,관광지,19868699,홀스파크,,,60513,일반관광지,4723010300106190003,경상북도,영천시,야사동,,619-3,4723010300,4723051000,472304730294.0,삼밭골길,107,128.939826,35.98939183,마마297779,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
24717,KCLANPO23N000024718,장소,관광지,19869129,보현산천문전시체험관,,,60513,일반관광지,4723034029106890000,경상북도,영천시,화북면,정각리,689,4723034029,4723034000,472303310010.0,별빛로,681-32,128.9974274,36.14019042,마마347947,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
25304,KCLANPO23N000025305,장소,관광지,20019753,렛츠런파크(2026년1월예정),,,60507,테마공원/대형놀이공원,4723025023200100000,경상북도,영천시,금호읍,성천리,산10,4723025023,4723025000,,,,128.8734941,35.94944202,마마238733,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
